6.0,4,True
240,40,16,255
224,160,0,255
200,44,32,64
224,92,100,128
232,68,72,255
228,200,200,2
224,184,64,85
244,168,128,170
232,128,128,255
252,60,48,219
200,100,76,102
192,80,68,85
208,36,20,255
224,208,24,255
236,208,0,255
220,184,20,255
228,40,4,255
216,160,20,128
252,100,104,85
192,68,60,51
252,160,68,255
232,160,120,128
204,80,72,128
152,32,32,12
252,200,84,255
244,48,4,255
248,60,12,255
172,104,96,8
224,24,0,255
244,200,64,255
248,32,8,255
232,160,136,64
224,108,28,255
208,112,112,255
240,216,208,3
252,100,52,255
236,108,96,85
228,212,116,128
220,88,84,85
252,180,180,32
240,220,220,7
212,64,56,43
156,20,4,255
212,24,20,255
252,228,32,102
152,68,64,64
252,236,160,21
244,92,44,255
252,176,12,255
212,112,88,28
252,180,164,85
236,156,112,255
236,188,180,2
208,168,24,255
200,176,40,255
172,44,32,128
228,128,120,128
188,52,40,64
240,96,76,43
204,48,60,51
200,144,12,255
240,120,80,85
252,132,64,255
252,12,4,255
232,144,80,255
248,144,8,255
236,164,108,51
244,236,220,2
236,156,84,255
228,80,44,255
216,200,72,255
244,132,48,255
252,64,64,212
252,68,32,255
236,72,16,255
248,100,40,255
216,12,16,255
244,80,76,46
212,44,20,255
196,36,0,255
224,140,64,255
252,248,24,153
252,252,168,10
252,140,56,255
200,56,40,85
252,192,180,6
252,196,28,128
252,232,228,10
212,76,72,128
244,120,72,255
240,0,8,255
248,140,136,85
252,144,80,170
252,100,16,255
172,72,48,255
208,16,12,255
204,36,12,255
252,232,60,85
232,196,24,255
248,152,144,170
248,80,92,128
228,148,0,255
208,48,48,73
224,92,8,255
212,160,88,85
244,108,104,255
184,92,72,64
200,108,88,51
244,36,40,102
200,28,0,255
240,196,188,2
204,64,56,128
228,100,36,255
240,200,180,2
232,88,48,255
240,160,156,64
228,92,84,85
196,40,40,32
248,88,88,128
204,76,92,64
248,84,56,209
220,188,8,255
252,212,116,102
184,32,4,255
176,116,112,4
252,160,56,255
252,164,72,255
248,240,240,18
228,124,128,85
228,112,32,255
252,100,80,35
228,116,64,255
244,52,24,255
224,4,4,255
248,184,104,64
208,76,24,255
248,132,132,85
248,128,28,255
228,184,180,4
220,48,44,118
244,108,36,255
252,244,64,32
236,92,80,51
248,180,100,51
236,28,0,255
212,68,68,85
244,180,176,12
156,72,64,85
212,28,24,255
252,124,72,255
156,36,36,28
244,80,40,255
216,100,52,255
248,12,24,255
252,188,192,1
192,40,52,17
252,128,44,255
252,132,132,85
216,84,88,64
204,36,32,51
240,108,72,255
232,200,40,170
248,180,64,255
244,56,72,85
244,212,196,1
216,80,0,255
220,80,0,255
240,4,0,255
244,228,200,10
236,100,4,255
220,44,16,255
252,68,76,186
208,36,8,255
252,72,36,255
240,212,136,26
220,120,12,255
164,36,28,43
176,44,36,106
212,32,16,255
228,100,92,255
252,252,4,51
176,16,0,255
232,28,8,255
252,124,52,255
220,140,132,26
220,100,8,255
252,200,24,170
252,204,136,16
240,20,4,255
252,148,92,182
240,140,84,255
232,164,172,17
184,60,36,85
204,40,8,255
248,192,168,7
212,20,24,255
228,184,152,3
240,76,28,255
200,112,116,128
208,92,36,255
240,48,24,255
200,36,40,51
248,204,112,30
244,104,36,255
244,140,116,255
248,108,8,255
200,24,12,255
244,164,24,255
252,36,56,9
220,144,128,28
232,84,52,255
196,44,36,22
252,204,12,213
252,244,156,43
220,160,12,255
216,64,60,36
192,72,68,113
216,156,160,5
244,180,68,255
232,60,60,219
236,212,176,5
252,164,52,255
252,168,76,255
236,180,160,1
248,212,80,255
228,72,68,128
248,92,36,255
204,116,116,255
228,160,0,255
228,164,160,11
232,132,48,255
252,196,120,32
212,184,188,1
224,84,36,255
248,36,28,255
244,156,44,255
220,52,32,219
252,108,12,255
236,116,104,64
244,168,0,255
220,64,76,128
224,96,84,128
236,32,4,255
232,64,20,255
240,172,100,11
248,208,16,255
236,28,24,85
240,136,60,255
200,68,64,51
252,232,232,7
244,220,4,204
252,232,136,32
216,144,68,255
208,140,148,30
248,52,16,255
244,84,52,191
204,96,76,128
252,188,188,2
188,60,44,85
244,96,8,255
252,248,100,64
240,100,76,28
248,108,92,20
164,72,88,26
212,180,132,12
244,60,44,128
168,100,84,12
200,108,108,128
244,176,124,85
224,28,32,51
184,32,16,170
240,92,104,64
172,68,64,102
224,100,44,255
224,96,68,255
252,124,116,64
